name,age,nationality,height_cm,weight_kg,overall,position,pace,shooting,passing,dribbling,defending,physical,stamina,strength,agility,vision,preferred_foot_encoded,height_cm_norm,position_encoded
O. Adeyemo,21,Nigeria,183,74,58,ST,77,56,37,56,21,47,53,48,59,44,1.0,1.83,10
G. Asken,19,Paraguay,176,71,58,CAM,65,44,58,58,29,58,61,62,53,59,1.0,1.76,0
N. Zivotic,20,Austria,182,74,58,RW,70,58,46,65,32,46,32,58,71,44,1.0,1.82,9
A. Ikenna,22,Nigeria,183,83,58,ST,68,54,48,58,19,60,65,70,59,48,1.0,1.83,10
R. Viega,24,Uruguay,180,75,58,RW,72,54,55,61,32,52,55,59,70,53,1.0,1.8,9
M. Al Safri,26,Saudi Arabia,189,74,58,CDM,60,45,51,53,50,80,85,82,59,44,1.0,1.89,2
Kim Chang Hun,26,Korea Republic,189,83,58,CB,35,47,32,44,57,67,68,72,49,35,1.0,1.89,1
L. Amiens,22,France,183,78,58,CB,55,27,41,40,57,62,61,62,43,33,1.0,1.83,1
K. Gadzhalov,27,Bulgaria,186,75,58,CB,62,32,33,39,59,64,61,72,56,29,1.0,1.86,1
J. Gormley,26,Northern Ireland,183,77,58,ST,61,62,30,47,26,67,52,76,56,24,1.0,1.83,10
İ. Ayaz,21,Turkey,175,65,58,CDM,62,43,62,60,52,45,46,34,62,59,1.0,1.75,2
A. Brennan,23,Australia,188,81,58,ST,79,57,46,57,28,66,67,73,76,45,1.0,1.88,10
A. Tonti,24,Italy,187,85,58,GK,52,53,50,67,61,48,37,48,67,18,0.0,1.87,5
J. Bilyeu,22,United States,188,79,58,LB,75,37,46,37,55,73,77,71,40,35,0.0,1.88,6
H. Miličević,23,Croatia,192,83,58,CDM,51,31,55,53,56,61,51,67,56,67,1.0,1.92,2
R. Sandez,22,Mexico,182,74,58,CDM,56,40,53,59,57,55,43,59,55,45,1.0,1.82,2
S. Mpeck-Makendi,22,France,180,76,58,GK,50,58,56,31,57,52,20,52,31,11,1.0,1.8,5
Kang Seong Jin,23,Korea Republic,183,65,58,CB,61,22,28,29,62,59,59,65,40,30,1.0,1.83,1
W. Żytek,22,Poland,185,81,58,CM,66,49,56,55,49,66,62,72,56,60,0.0,1.85,4
W. Skaba,32,Poland,190,81,58,GK,46,59,61,35,58,63,38,63,35,45,1.0,1.9,5
A. McNally,33,Republic of Ireland,191,80,58,CB,52,44,44,41,56,71,66,76,54,45,1.0,1.91,1
M. Hugosson,42,Sweden,190,88,58,GK,42,57,59,35,57,66,39,66,35,15,0.0,1.9,5
K. O'Connor,30,Republic of Ireland,178,77,58,CM,55,54,56,51,55,68,68,73,52,55,1.0,1.78,4
Castells,31,Spain,189,84,58,CB,58,29,51,46,54,68,66,70,58,50,1.0,1.89,1
O. Pineda,30,Mexico,169,71,58,LB,70,45,65,57,51,46,51,43,71,61,0.0,1.69,6
D. Ciccone,28,Switzerland,173,80,58,CM,63,48,55,59,54,57,63,57,63,55,1.0,1.73,4
Omar,23,Spain,177,73,58,ST,63,63,42,59,23,49,44,53,55,41,1.0,1.77,10
C. Rivas,25,Colombia,176,74,58,CB,65,25,36,37,60,55,65,53,40,34,0.0,1.76,1
P. Roberts,22,Republic of Ireland,178,71,58,ST,82,53,58,62,20,69,71,71,71,61,1.0,1.78,10
C. Alarcón,24,Colombia,186,85,58,LW,58,61,51,62,45,66,59,80,54,45,0.0,1.86,7
K. Mustafa,24,Sweden,174,74,58,LW,72,47,52,66,21,40,44,36,78,51,0.0,1.74,7
Kim Hyuk Jin,25,Korea Republic,176,70,58,LW,74,45,53,59,29,50,54,46,65,52,0.0,1.76,7
R. Cecchini,25,Switzerland,174,71,58,CAM,71,46,54,63,37,56,59,59,60,61,1.0,1.74,0
L. Silka,25,Kosovo,173,69,58,CM,65,48,57,59,44,55,60,50,66,60,1.0,1.73,4
S. Nakahara,25,Japan,172,64,58,CDM,72,43,54,60,49,60,89,49,76,62,1.0,1.72,2
M. Arrúa,32,Argentina,174,69,58,CAM,62,52,60,58,29,52,61,49,68,67,0.0,1.74,0
G. Hogan,32,Republic of Ireland,195,90,58,GK,55,57,60,34,60,54,36,54,34,14,1.0,1.95,5
D. Heffernan,28,England,188,88,58,ST,64,59,40,55,27,71,65,78,60,49,1.0,1.88,10
M. Kanté,27,France,196,85,58,CM,54,47,59,52,59,73,60,84,54,61,1.0,1.96,4
T. Nilsson,30,Sweden,186,82,58,CB,45,53,57,52,53,69,67,71,50,53,1.0,1.86,1
Cristian Nevinha,28,Brazil,186,78,58,GK,41,48,42,38,59,32,37,32,38,23,1.0,1.86,5
G. Makris,31,Greece,186,80,58,CM,56,37,55,52,50,70,72,70,53,49,1.0,1.86,4
N. Álvarez,26,Argentina,176,81,58,RB,57,42,45,56,56,67,61,76,51,32,1.0,1.76,8
J. Franks,26,England,175,73,58,RW,73,52,49,61,34,56,76,56,76,55,1.0,1.75,9
M. Grasegger,27,Austria,182,74,58,LB,65,25,40,46,59,59,64,56,56,35,1.0,1.82,6
C. Arthur,26,England,180,76,58,LB,81,45,50,61,52,71,70,83,70,53,0.0,1.8,6
G. Shalaj,25,Switzerland,183,74,58,LW,71,51,52,61,23,58,65,62,68,43,0.0,1.83,7
E. Buruchaga,27,Argentina,178,76,58,LB,64,36,48,53,61,67,62,70,55,49,0.0,1.78,6
R. Esson,36,Scotland,185,79,58,GK,44,56,55,33,57,72,26,72,33,26,1.0,1.85,5
F. Burgmeier,34,Liechtenstein,177,73,58,LW,50,59,59,61,57,60,60,61,70,59,0.0,1.77,7
G. McGlynn,33,Republic of Ireland,176,72,58,LW,58,53,57,58,24,54,55,52,55,58,1.0,1.76,7
A. Al Qarni,27,Saudi Arabia,183,77,58,CB,61,26,35,38,59,70,62,80,67,28,1.0,1.83,1
M. Hossain,29,India,171,72,58,CM,78,48,56,60,49,62,69,58,75,58,1.0,1.71,4
Y. Klukowski,28,England,185,85,58,CM,74,49,55,58,50,70,71,73,73,52,1.0,1.85,4
J. Okimo,27,England,182,76,58,LB,75,25,46,55,56,68,69,72,61,37,0.0,1.82,6
M. Lamas,29,Argentina,177,74,58,CM,63,43,55,54,62,64,71,61,52,53,1.0,1.77,4
M. Haidara,28,France,185,80,58,ST,70,62,43,56,23,56,52,67,56,51,1.0,1.85,10
R. Esse,18,England,178,65,58,CAM,74,46,54,65,46,52,49,53,69,61,0.0,1.78,0
P. Schulz,18,Germany,185,80,58,CDM,54,41,52,53,59,62,55,68,63,50,1.0,1.85,2
I. Necevski,36,Australia,190,90,58,GK,52,49,50,35,60,67,23,67,35,11,1.0,1.9,5
D. Piotrowski,29,Poland,172,68,58,RW,74,49,55,55,34,56,60,53,74,61,1.0,1.72,9
K. Nishimura,31,Japan,186,78,58,GK,44,54,55,31,60,33,27,33,31,40,1.0,1.86,5
D. Prendergast,31,Republic of Ireland,185,81,58,CB,31,38,35,31,55,66,32,86,31,35,1.0,1.85,1
R. Villalba,17,Paraguay,180,79,58,RW,74,44,52,59,42,58,57,61,66,50,1.0,1.8,9
A. Kjelsen,17,Norway,185,72,58,CB,69,34,45,54,58,58,51,61,67,44,1.0,1.85,1
O. Scarles,17,England,182,70,58,CDM,57,47,59,57,57,49,48,50,59,54,0.0,1.82,2
D. Kołodziej,33,Poland,177,73,58,CAM,43,61,62,59,42,62,57,59,65,59,0.0,1.77,0
T. Champion,29,England,190,78,58,CDM,63,29,48,49,59,66,71,65,59,42,1.0,1.9,2
D. Stringel,29,Mexico,174,71,58,RB,60,48,62,65,53,51,50,58,68,55,0.0,1.74,8
E. Sinclair,27,England,182,72,58,ST,81,58,45,56,23,72,70,79,61,44,1.0,1.82,10
M. Siegfried,27,Switzerland,188,82,58,CDM,53,40,52,49,58,71,57,79,47,47,1.0,1.88,2
A. Besio,19,Switzerland,185,80,58,ST,67,56,44,56,25,64,55,78,61,54,0.0,1.85,10
O. Megeed,17,Egypt,188,77,58,LW,65,53,53,61,27,52,44,61,48,60,1.0,1.88,7
D. Ballard,18,England,178,74,58,ST,68,60,47,59,22,51,48,52,73,48,1.0,1.78,10
C. Riviera,18,Italy,175,68,58,LB,71,37,54,56,51,50,62,44,62,54,0.0,1.75,6
F. Pollock,19,Scotland,178,68,58,CAM,68,46,55,62,40,48,59,45,65,58,1.0,1.78,0
F. Loftesnes-Bjune,18,Norway,176,73,58,RB,66,41,55,57,53,56,66,52,66,55,1.0,1.76,8
B. Faraas,17,Norway,180,70,58,CAM,67,47,53,61,40,40,54,34,68,56,1.0,1.8,0
A. Gauthier,19,France,176,66,58,CM,66,55,60,62,46,54,55,55,63,54,0.0,1.76,4
L. Sousa,18,England,185,70,58,LB,64,39,54,57,56,54,51,59,60,55,0.0,1.85,6
P. Gustafsson,30,Sweden,178,75,58,LB,68,39,49,52,54,62,61,64,60,21,1.0,1.78,6
B. Williams,27,England,188,79,58,ST,65,59,41,53,40,74,80,78,61,48,1.0,1.88,10
J. Kowalski,27,Poland,176,68,58,RW,77,52,55,58,27,51,74,44,80,49,1.0,1.76,9
G. Noguera,27,Paraguay,175,72,58,RB,62,35,36,56,67,58,60,56,52,44,1.0,1.75,8
S. Barrow,26,Wales,180,70,58,LB,70,45,51,52,56,64,64,68,72,42,0.0,1.8,6
A. Straker,26,Grenada,175,75,58,LW,80,52,51,60,51,64,79,67,79,55,0.0,1.75,7
A. Chennoufi,26,Sweden,175,77,58,LW,64,44,56,61,33,55,52,61,59,54,1.0,1.75,7
M. Richards,30,England,173,70,58,CM,67,52,59,59,51,69,76,73,57,54,0.0,1.73,4
M. Ingham,34,Northern Ireland,193,87,58,GK,50,47,43,49,60,64,32,64,49,38,1.0,1.93,5
J. McAllister,37,Scotland,178,70,58,LB,43,47,59,55,61,66,62,65,62,55,0.0,1.78,6
G. Basualdo,34,Argentina,167,69,58,RW,67,47,58,64,28,55,70,53,73,49,1.0,1.67,9
D. Torres,32,Argentina,171,68,58,RW,70,58,52,61,29,40,54,38,76,59,1.0,1.71,9
M. Sokołowski,37,Poland,181,75,58,RW,52,57,61,60,62,56,32,62,60,57,1.0,1.81,9
S. Rice,30,Republic of Ireland,179,82,58,CM,34,56,58,56,54,66,62,71,51,55,1.0,1.79,4
S. Oji,29,England,186,92,58,CB,48,20,35,32,57,73,60,85,44,28,1.0,1.86,1
D. Cassidy,30,Republic of Ireland,167,66,58,CM,55,57,58,58,52,61,70,57,62,57,1.0,1.67,4
A. Hassan,30,Lebanon,197,95,58,GK,53,53,50,23,57,79,36,79,23,47,1.0,1.97,5
A. Parrish,27,England,183,74,58,CB,68,27,46,55,60,60,67,59,71,39,1.0,1.83,1
Kim Sang Pil,26,Korea Republic,189,86,58,CB,68,56,29,53,59,73,70,83,58,35,1.0,1.89,1
J. Olsson,25,Sweden,185,77,58,RB,67,42,53,58,55,65,72,64,60,52,1.0,1.85,8
S. Skrzypczak,25,Poland,183,70,58,ST,67,58,39,52,23,59,60,69,61,50,1.0,1.83,10
Gil Young Tae,24,Korea Republic,185,79,58,CB,62,25,30,36,59,65,61,73,43,26,1.0,1.85,1
Choi Jung Han,26,Korea Republic,179,73,58,ST,71,59,43,59,21,58,54,61,59,50,1.0,1.79,10
E. Aparicio,25,Argentina,180,75,58,ST,73,56,48,63,19,56,63,62,65,47,1.0,1.8,10
J. Azil,26,Argentina,175,70,58,RB,67,46,57,61,53,62,69,62,64,53,1.0,1.75,8
C. Cárdenas,31,Mexico,183,80,58,CB,30,22,34,32,58,67,43,78,58,43,0.0,1.83,1
W. Al Rajaa,33,Saudi Arabia,173,70,58,LB,69,30,49,54,57,62,60,64,69,42,0.0,1.73,6
A. López,25,Mexico,188,82,58,GK,52,59,61,38,58,69,21,69,38,28,0.0,1.88,5
R. Quiroga,26,Argentina,178,75,58,LW,67,48,58,60,32,54,63,58,62,52,0.0,1.78,7
B. Olivares,20,Chile,172,67,58,ST,69,55,53,64,37,51,64,49,75,53,1.0,1.72,10
A. Luttecke,22,Chile,175,70,58,ST,78,49,54,55,43,68,76,66,63,56,1.0,1.75,10
R. Espíndola,25,Argentina,183,84,58,CB,60,41,39,46,58,66,62,71,57,26,1.0,1.83,1
A. Kurakins,25,Latvia,182,73,58,LB,68,32,38,56,61,61,70,59,56,50,0.0,1.82,6
O. Ilesanmi,24,England,185,76,58,LB,78,35,43,59,56,76,73,83,86,28,0.0,1.85,6
You Sung Ki,23,Korea Republic,178,70,58,LW,60,55,51,65,25,61,70,57,71,49,0.0,1.78,7
R. Ayala,20,Argentina,179,70,58,LB,73,40,46,56,57,62,70,60,68,38,0.0,1.79,6
A. Al Dabbas,21,Saudi Arabia,170,60,58,LW,82,49,52,60,29,41,54,36,66,56,0.0,1.7,7
D. Havertong,20,Netherlands,175,68,58,RB,66,30,48,54,58,63,59,63,53,43,1.0,1.75,8
R. Williams,24,England,170,75,58,CM,65,60,60,61,37,57,64,57,80,62,1.0,1.7,4
N. Von Niederhäusern,25,Switzerland,178,71,58,RB,66,37,48,48,61,70,65,73,57,52,1.0,1.78,8
D. Lucas,37,England,188,84,58,GK,52,61,63,59,57,57,31,57,59,16,0.0,1.88,5
S. Thornton,32,Republic of Ireland,178,79,58,CAM,55,51,63,58,30,63,55,70,61,66,1.0,1.78,0
B. Babit,22,France,170,65,58,ST,81,60,38,55,20,51,52,57,72,52,1.0,1.7,10
N. Corticchia,22,Italy,177,73,58,CM,65,44,56,57,45,55,66,50,60,56,1.0,1.77,4
N. Bruna,24,Argentina,182,75,58,CDM,65,39,52,57,55,68,68,68,57,37,1.0,1.82,2
M. Markowski,25,Poland,185,80,58,CB,62,28,30,32,59,67,57,75,48,31,1.0,1.85,1
L. Mendonca Fuhre,25,Norway,179,74,58,CAM,69,54,53,63,39,62,74,56,77,66,0.0,1.79,0
Heo Beom San,25,Korea Republic,180,70,58,CM,61,48,59,62,43,48,45,52,72,66,0.0,1.8,4
Kim Chan Hee,25,Korea Republic,183,76,58,ST,67,59,37,58,20,51,51,58,70,45,1.0,1.83,10
S. Petshi,23,France,193,80,58,CDM,67,39,52,51,53,73,81,72,60,47,1.0,1.93,2
E. Bojang,23,Gambia,194,87,58,ST,60,57,39,47,30,72,57,88,40,54,1.0,1.94,10
M. Dzhenetov,23,Russia,187,83,58,GK,53,58,60,32,59,70,34,70,32,25,1.0,1.87,5
R. Cisternas,23,Chile,177,73,58,GK,52,60,62,34,59,53,35,53,34,32,1.0,1.77,5
Javi Duro,21,Spain,185,78,58,CB,61,31,37,40,61,67,68,71,64,42,1.0,1.85,1
Ç. Bülbül,23,Turkey,176,72,58,CDM,64,46,56,56,55,57,66,50,57,51,1.0,1.76,2
J. Sagredo,21,Chile,180,67,58,CAM,71,47,54,63,32,48,73,41,69,65,1.0,1.8,0
A. Arestidou,25,England,188,83,58,GK,58,57,55,34,58,65,30,65,34,13,1.0,1.88,5
G. Mebrahtu,24,Australia,185,78,58,ST,91,61,52,63,27,36,34,39,90,56,1.0,1.85,10
L. De Faría,19,Argentina,180,70,58,RW,75,44,57,58,50,63,76,59,71,50,1.0,1.8,9
J. Rasmussen,23,Denmark,184,73,58,LW,72,56,53,57,32,68,66,74,57,52,1.0,1.84,7
S. Fatha,25,Saudi Arabia,170,60,58,GK,60,57,57,52,60,52,39,52,52,13,1.0,1.7,5
A. Henningsson,25,Sweden,185,76,58,RW,77,46,50,61,25,58,72,58,73,44,1.0,1.85,9
S. Silguero,23,Argentina,180,74,58,RB,65,29,41,43,63,66,56,74,70,33,1.0,1.8,8
J. Balmy,21,France,170,62,58,LW,88,51,47,64,22,36,49,33,83,43,1.0,1.7,7
Vivancos,21,Spain,185,74,58,CM,54,45,58,60,56,47,34,47,58,57,1.0,1.85,4
C. Essam,22,England,183,76,58,CB,65,21,26,38,57,71,72,73,73,25,1.0,1.83,1
M. Kretzschmar,21,England,174,71,58,LW,67,54,57,58,36,55,71,49,75,58,1.0,1.74,7
R. Killock,20,England,183,71,58,CB,51,28,41,31,60,62,56,66,44,30,1.0,1.83,1
M. Scioscia,23,Italy,174,71,58,LB,77,41,53,61,55,53,59,42,81,50,0.0,1.74,6
Willian,22,Brazil,184,71,58,CM,65,45,55,60,63,66,75,60,56,46,1.0,1.84,4
K. Fuhry,20,Germany,189,81,58,GK,49,56,55,36,58,54,26,54,36,25,1.0,1.89,5
A. Al Nufaili,21,Saudi Arabia,171,64,58,LB,74,34,45,57,56,52,58,48,73,32,0.0,1.71,6
Ł. Zejdler,23,Poland,172,64,58,LW,76,49,59,52,54,61,84,50,91,55,0.0,1.72,7
R. Díaz,23,Mexico,185,77,58,CB,56,31,35,37,60,58,52,62,47,33,0.0,1.85,1
Ko Byeong Wook,22,Korea Republic,175,68,58,CAM,64,60,54,61,35,58,61,63,61,53,1.0,1.75,0
K. Kostin,21,Russia,165,68,58,RB,57,32,41,60,62,50,63,42,93,41,1.0,1.65,8
Satrústegui,21,Spain,180,75,58,ST,62,61,46,55,27,49,49,54,56,49,1.0,1.8,10
R. Combe Arriola,20,Uruguay,180,80,58,ST,71,59,46,60,21,66,78,74,75,45,1.0,1.8,10
Ícaro,21,Brazil,185,76,58,CDM,62,43,55,61,55,60,51,63,58,47,1.0,1.85,2
Ö. Karabulut,24,Turkey,190,79,58,GK,56,59,60,53,60,42,39,42,53,38,1.0,1.9,5
L. Nshole Makondi,20,Belgium,179,74,58,ST,67,58,45,61,19,55,56,57,64,48,1.0,1.79,10
A. Acosta Luna,20,Argentina,190,77,58,GK,51,60,59,33,58,58,44,58,33,37,0.0,1.9,5
A. Lugones,21,Argentina,162,62,58,CAM,82,55,54,65,23,39,56,31,91,50,1.0,1.62,0
David Sanz,20,Spain,171,70,58,CM,74,44,59,63,56,46,49,41,70,64,1.0,1.71,4
S. Murawski,21,Poland,183,71,58,CB,59,25,34,35,62,56,58,57,64,30,1.0,1.83,1
José Postiga,19,Portugal,176,65,58,ST,57,63,45,53,24,42,50,41,65,54,1.0,1.76,10
E. Oneto,19,Italy,182,71,58,ST,61,56,48,62,22,50,57,50,51,52,1.0,1.82,10
M. Rosso,22,Argentina,182,70,58,RW,67,56,56,59,24,64,65,71,64,52,1.0,1.82,9
B. Andrada,18,Argentina,164,61,58,ST,83,58,52,65,23,40,59,31,82,52,0.0,1.64,10
A. Durán,22,Mexico,180,65,58,CAM,65,49,63,58,46,42,39,44,52,69,1.0,1.8,0
F. Jominy,20,Argentina,170,70,58,ST,73,59,46,63,19,54,62,55,74,45,1.0,1.7,10
G. Seijas,21,Argentina,172,71,58,LW,67,49,56,61,30,46,57,47,59,54,1.0,1.72,7
R. Razo,20,Mexico,178,72,58,ST,56,58,49,60,22,57,54,70,54,53,1.0,1.78,10
H. Bouyadi,21,Morocco,176,75,58,ST,69,59,50,61,21,47,50,51,53,57,1.0,1.76,10
P. Carreras,20,Argentina,172,68,58,RB,72,34,47,56,55,55,62,51,71,34,1.0,1.72,8
Willian,19,Brazil,187,82,58,GK,54,58,64,38,58,69,41,69,38,42,1.0,1.87,5
Jeferson,19,Brazil,170,60,58,RB,61,32,41,57,61,46,56,33,59,39,1.0,1.7,8
J. Passley,20,England,184,79,58,RB,77,35,52,58,53,69,66,72,75,48,1.0,1.84,8
J. Buitenhuis,19,Netherlands,175,72,58,CM,63,54,57,68,40,54,63,55,65,60,1.0,1.75,4
T. Notteboom,19,Belgium,175,59,58,RW,77,50,48,64,26,44,53,42,74,52,1.0,1.75,9
D. Carrick,21,Scotland,180,70,58,CF,79,49,50,66,51,60,63,56,82,48,1.0,1.8,3
A. Mazzariol,20,Italy,179,72,58,RB,61,28,42,55,63,44,55,33,69,41,1.0,1.79,8
Song Seong Beom,23,Korea Republic,184,79,58,CB,60,24,29,26,62,66,62,76,42,35,1.0,1.84,1
S. Salem,22,Saudi Arabia,176,68,58,ST,76,57,41,60,18,69,54,76,72,46,1.0,1.76,10
R. Pfumbidzai,20,Zimbabwe,180,75,58,LB,76,31,46,55,55,62,64,62,57,35,0.0,1.8,6
J. Moore,21,Scotland,185,71,58,ST,54,57,39,58,22,68,63,70,72,50,1.0,1.85,10
K. McEvoy,20,Republic of Ireland,176,64,58,LW,87,49,48,65,21,47,54,46,84,52,1.0,1.76,7
T. Musalov,21,Russia,183,74,58,ST,62,60,45,53,24,52,50,60,56,49,1.0,1.83,10
D. Vázquez,20,Mexico,171,66,58,CM,65,44,58,63,58,54,69,42,62,51,1.0,1.71,4
R. Jennings,19,England,180,75,58,ST,81,57,45,57,22,55,64,58,71,50,1.0,1.8,10
M. Kubli,20,Switzerland,173,72,58,CM,77,50,57,56,54,68,69,70,59,60,1.0,1.73,4
R. Cid,20,Mexico,180,73,58,RB,60,31,42,57,61,59,59,59,54,42,1.0,1.8,8
J. Vanhanen,17,Finland,190,76,58,CB,66,32,44,40,58,56,41,63,60,32,0.0,1.9,1
A. Cerda,17,Chile,180,77,58,ST,65,57,40,56,20,54,39,70,57,47,1.0,1.8,10
C. Webster,19,England,177,67,58,CM,67,54,59,65,47,50,50,51,88,61,1.0,1.77,4
S. Weirauch,19,Poland,190,76,58,GK,47,55,55,31,59,60,26,60,31,37,1.0,1.9,5
S. Ngoma,17,United States,178,75,58,RW,90,47,47,62,38,57,61,59,87,50,1.0,1.78,9
R. Norheim,18,Norway,176,71,58,CAM,65,48,54,63,46,45,54,36,76,58,1.0,1.76,0
M. Erdilman,19,Turkey,178,71,58,CM,58,42,58,62,55,44,43,38,52,56,0.0,1.78,4
A. Foley,33,Republic of Ireland,188,80,58,RW,70,57,51,54,38,60,50,65,34,55,1.0,1.88,9
V. Daley-Campbell,22,England,183,74,58,RB,68,39,50,54,53,67,72,69,60,44,1.0,1.83,8
VP Suhair,30,India,174,74,58,RW,72,54,51,59,31,66,71,69,68,53,1.0,1.74,9
V. Drăghia,32,Romania,192,88,58,GK,48,59,58,46,57,62,37,62,46,47,1.0,1.92,5
F. Al Obaid,30,Saudi Arabia,178,76,58,LB,70,39,50,53,55,61,65,63,59,48,0.0,1.78,6
A. Sigurðarson,19,Iceland,187,74,58,CM,64,45,57,59,56,65,68,63,58,55,1.0,1.87,4
Mateus Silva,18,Brazil,161,65,58,ST,85,56,51,67,19,54,60,62,85,52,1.0,1.61,10
D. Monteleone,19,Italy,189,79,58,CB,59,26,28,31,61,66,69,70,42,26,1.0,1.89,1
Su Yuanjie,28,China PR,179,70,58,LB,75,50,51,62,51,56,57,61,78,60,1.0,1.79,6
A. Grinwis,31,United States,188,82,58,GK,43,55,56,29,58,59,23,59,29,40,1.0,1.88,5
Kim Seung Sub,26,Korea Republic,177,65,58,LW,81,54,51,60,26,60,58,61,62,43,1.0,1.77,7
Ma Xingyu,33,China PR,181,73,58,CM,59,43,53,58,55,65,71,66,59,64,1.0,1.81,4
Fei Yu,32,China PR,185,82,58,CM,64,41,57,61,53,68,71,74,56,54,1.0,1.85,4
R. Fernandes,27,India,172,68,58,CM,72,46,54,60,47,60,66,60,69,55,1.0,1.72,4
Mu Pengfei,34,China PR,192,89,58,GK,44,54,53,28,57,71,40,71,28,56,1.0,1.92,5
T. Rehenesh,30,India,180,75,58,GK,49,57,56,31,58,49,19,49,31,24,1.0,1.8,5
S. Al Abbas,29,Saudi Arabia,174,65,58,ST,76,57,39,60,17,57,60,63,70,42,1.0,1.74,10
J. Monteagudo,19,Argentina,192,89,58,CB,58,32,32,37,59,69,62,81,49,30,1.0,1.92,1
A. Kuznetsov,18,Russia,168,61,58,LB,73,31,42,58,57,48,64,33,92,40,0.0,1.68,6
O. Pain,17,Australia,185,76,58,GK,52,54,57,33,60,36,25,36,33,40,1.0,1.85,5
S. Göcer,22,Germany,172,69,58,RW,64,48,63,60,43,44,40,45,51,62,1.0,1.72,9
L. Caddis,21,Scotland,173,64,58,CAM,73,44,58,63,51,59,63,57,70,55,1.0,1.73,0
M. Tapia,17,Chile,171,71,58,CB,61,27,41,34,58,66,68,73,60,30,1.0,1.71,1
Juanma,17,Spain,182,74,58,GK,54,55,56,53,60,55,45,55,53,12,1.0,1.82,5
Zhang Li,33,China PR,172,71,58,CM,53,48,57,59,61,60,64,56,72,66,1.0,1.72,4
H. Al Zabdani,28,Saudi Arabia,178,64,58,RB,71,30,49,52,54,58,63,57,58,48,1.0,1.78,8
H. Narzary,29,India,179,66,58,LW,79,54,52,59,34,60,74,65,70,50,0.0,1.79,7
R. Borges,31,India,182,72,58,CDM,56,41,50,51,57,72,77,74,49,50,1.0,1.82,2
A. Al Qahtani,30,Saudi Arabia,175,65,58,CAM,69,56,56,61,40,53,51,59,64,54,1.0,1.75,0
Gui Hong,28,China PR,185,83,58,ST,57,57,54,57,40,74,72,80,63,54,1.0,1.85,10
Li Hong,30,China PR,185,75,58,LB,63,24,36,43,61,63,55,69,49,26,1.0,1.85,6
S. Larabi,19,France,184,73,58,CB,53,31,34,37,62,55,55,56,37,30,1.0,1.84,1
S. Akhmaev,19,Russia,182,72,58,ST,53,62,43,54,21,52,56,56,59,51,1.0,1.82,10
H. Al Majhad,31,Saudi Arabia,167,67,58,CM,58,47,54,60,55,56,61,56,57,55,1.0,1.67,4
K. González,27,Argentina,167,63,58,RW,69,55,50,63,30,40,55,34,68,50,1.0,1.67,9
M. Al Shaikh,27,Saudi Arabia,172,62,58,RW,76,51,51,57,38,48,57,45,62,51,0.0,1.72,9
H. Tomalski,29,Poland,171,70,58,LW,65,53,56,62,31,73,67,82,71,53,1.0,1.71,7
A. Al Bukhari,28,Saudi Arabia,174,70,58,LB,73,39,52,54,53,62,60,61,62,45,0.0,1.74,6
L. Ketterer,29,United States,191,83,58,GK,45,56,55,38,58,63,21,63,38,42,1.0,1.91,5
Li Hailong,26,China PR,180,75,58,RB,66,31,48,56,55,59,67,58,72,42,1.0,1.8,8
J. O'Brien,35,Scotland,183,77,58,CM,43,57,60,59,51,63,57,67,49,59,1.0,1.83,4
K. Szymański,30,Poland,192,92,58,GK,40,58,58,31,57,68,23,68,31,41,1.0,1.92,5
Geng Xiaofeng,35,China PR,191,82,58,GK,48,56,52,35,55,34,35,34,35,60,1.0,1.91,5
R. Brennan,31,Republic of Ireland,180,72,58,CM,51,58,57,58,55,63,54,66,53,58,1.0,1.8,4
D. Lafferty,34,Northern Ireland,182,76,58,LB,49,52,55,56,57,62,64,62,64,45,0.0,1.82,6
Choi Bo Kyung,35,Korea Republic,184,79,58,CB,47,39,52,51,57,58,36,65,54,57,0.0,1.84,1
J. Morias,27,Jamaica,173,88,58,CF,79,59,44,63,28,78,65,89,83,43,1.0,1.73,3
J. Carneiro,32,India,163,66,58,LB,70,33,51,54,52,59,77,51,82,52,0.0,1.63,6
S. Faqihi,28,Saudi Arabia,175,67,58,RB,72,42,48,52,54,61,64,61,60,42,1.0,1.75,8
T. Owolabi,27,Belgium,183,76,58,ST,82,57,41,56,34,67,57,74,70,43,1.0,1.83,10
L. Kattimani,34,India,180,72,58,GK,50,58,58,31,59,52,25,52,31,15,1.0,1.8,5
K. Limbu,33,Nepal,185,85,58,GK,51,57,56,36,57,69,38,69,36,58,1.0,1.85,5
F. Liivak,26,Estonia,182,79,58,RW,63,58,53,57,33,57,59,59,53,58,1.0,1.82,9
Yang Boyu,34,China PR,187,82,58,CB,39,29,34,41,60,69,63,81,51,28,1.0,1.87,1
Hwang Hyun Soo,27,Korea Republic,183,80,58,CB,70,44,34,40,55,63,40,76,42,23,1.0,1.83,1
Han Seok Jong,30,Korea Republic,184,72,58,CDM,55,45,52,56,56,64,69,64,52,50,1.0,1.84,2
Feng Boxuan,26,China PR,181,75,58,RB,83,51,52,61,50,58,67,57,79,53,1.0,1.81,8
Gan Rui,38,China PR,180,70,58,RB,63,48,56,54,52,64,60,69,50,61,1.0,1.8,8
J. Ball,27,England,191,86,58,CM,63,58,57,57,54,73,71,76,61,58,1.0,1.91,4
